country,quarter,top5share
DE,2016-Q4,45.12
DE,2017-Q1,44.83
DE,2017-Q2,44.46
DE,2017-Q3,44.77
DE,2017-Q4,44.93
DE,2018-Q1,45.43
DE,2018-Q2,45.52
DE,2018-Q3,45.8
DE,2018-Q4,45.7
DE,2019-Q1,45.76
DE,2019-Q2,45.66
DE,2019-Q3,45.71
DE,2019-Q4,45.92
DE,2020-Q1,45.87
DE,2020-Q2,46.05
DE,2020-Q3,46.18
DE,2020-Q4,46.4
DE,2021-Q1,46.7
DE,2021-Q2,46.81
DE,2021-Q3,46.95
DE,2021-Q4,47.03
DE,2022-Q1,46.98
DE,2022-Q2,46.91
DE,2022-Q3,46.99
DE,2022-Q4,47.08
DE,2023-Q1,47.19
DE,2023-Q2,47.27
DE,2023-Q3,47.42
DE,2023-Q4,47.44
DE,2024-Q1,47.53
DE,2024-Q2,47.41
DE,2024-Q3,47.43
DE,2024-Q4,47.36
DE,2025-Q1,47.49
EE,2013-Q2,46.19
EE,2013-Q3,46.25
EE,2013-Q4,46.26
EE,2014-Q1,46.19
EE,2014-Q2,46.45
EE,2014-Q3,46.56
EE,2014-Q4,46.34
EE,2015-Q1,45.35
EE,2015-Q2,45.47
EE,2015-Q3,45.6
EE,2015-Q4,45.24
EE,2016-Q1,45.76
EE,2016-Q2,45.98
EE,2016-Q3,46.13
EE,2016-Q4,46.09
EE,2017-Q1,46.66
EE,2017-Q2,47.21
EE,2017-Q3,46.96
EE,2017-Q4,46.6
EE,2018-Q1,46.47
EE,2018-Q2,46.23
EE,2018-Q3,46.65
EE,2018-Q4,45.96
EE,2019-Q1,45.7
EE,2019-Q2,46.03
EE,2019-Q3,46.11
EE,2019-Q4,45.87
EE,2020-Q1,46.07
EE,2020-Q2,46.73
EE,2020-Q3,47.87
EE,2020-Q4,47.54
EE,2021-Q1,46.36
EE,2021-Q2,45.7
EE,2021-Q3,46.4
EE,2021-Q4,46.44
EE,2022-Q1,46.38
EE,2022-Q2,45.71
EE,2022-Q3,45.92
EE,2022-Q4,45.59
EE,2023-Q1,45.59
EE,2023-Q2,44.91
EE,2023-Q3,45.45
EE,2023-Q4,44.86
EE,2024-Q1,45.4
EE,2024-Q2,45.13
EE,2024-Q3,45.1
EE,2024-Q4,44.88
EE,2025-Q1,44.56
ES,2011-Q4,35.69
ES,2012-Q1,36.46
ES,2012-Q2,36.82
ES,2012-Q3,37.57
ES,2012-Q4,37.97
ES,2013-Q1,39.19
ES,2013-Q2,39.41
ES,2013-Q3,39.82
ES,2013-Q4,40.37
ES,2014-Q1,40.92
ES,2014-Q2,41.18
ES,2014-Q3,41.43
ES,2014-Q4,41.47
ES,2015-Q1,42.05
ES,2015-Q2,41.59
ES,2015-Q3,41.31
ES,2015-Q4,42.19
ES,2016-Q1,41.86
ES,2016-Q2,41.64
ES,2016-Q3,41.79
ES,2016-Q4,41.83
ES,2017-Q1,42.08
ES,2017-Q2,42.01
ES,2017-Q3,41.89
ES,2017-Q4,41.86
ES,2018-Q1,41.76
ES,2018-Q2,41.7
ES,2018-Q3,41.59
ES,2018-Q4,41.35
ES,2019-Q1,41.62
ES,2019-Q2,41.58
ES,2019-Q3,41.53
ES,2019-Q4,41.69
ES,2020-Q1,41.4
ES,2020-Q2,41.6
ES,2020-Q3,41.62
ES,2020-Q4,41.94
ES,2021-Q1,42.13
ES,2021-Q2,42.07
ES,2021-Q3,41.9
ES,2021-Q4,41.89
ES,2022-Q1,41.49
ES,2022-Q2,41.26
ES,2022-Q3,40.93
ES,2022-Q4,41.31
ES,2023-Q1,41.65
